NID,x,y,a,b,dm,st
sevice_D,0,0,0,4,0,0
pickup1,-0.073259331,0.589748243,0.372662788,0.872662788,0.508888048,0.033333333
pickup2,0.654730274,0.83600888,1.342237165,1.842237165,0.640564727,0.033333333
pickup3,-0.00368013,-0.003442324,1.724328684,2.224328684,0.507323115,0.033333333
pickup4,1.008605108,-2.75745588,2.52711956,3.02711956,0.510225124,0.033333333
pickup5,-1.415283761,0.933187132,2.108768824,2.608768824,0.571401205,0.033333333
pickup6,-0.134257519,-1.555103983,2.180136224,2.680136224,0.577266843,0.033333333
pickup7,0.408097558,0.199133101,3.115202508,3.615202508,0.52057986,0.033333333
pickup8,-0.939481135,0.048385252,2.244636845,2.744636845,0.521151688,0.033333333
pickup9,-1.497959469,2.235545766,0.539096722,1.039096722,0.704428844,0.033333333
pickup10,-0.204405416,0.653634921,0.522617913,1.022617913,0.564288503,0.033333333
pickup11,1.384918916,-0.206610154,2.369667391,2.869667391,0.605148168,0.033333333
pickup12,2.333404518,-0.036812484,0.343295651,0.843295651,0.545521333,0.033333333
pickup13,1.048414129,-1.528214577,3.484207162,3.984207162,0.725772595,0.033333333
pickup14,1.326065003,-2.604120514,2.180267231,2.680267231,0.587653377,0.033333333
pickup15,1.258180849,1.608142193,3.401960056,3.901960056,0.717864348,0.033333333
pickup16,-2.64233476,-0.628922178,3.281151134,3.781151134,0.729494445,0.033333333
pickup17,1.988929423,-2.041509405,3.470196116,3.970196116,0.634074912,0.033333333
pickup18,0.956114779,1.147643759,0.555344231,1.055344231,0.587003023,0.033333333
pickup19,0.210673405,0.196139058,0.671195685,1.171195685,0.690067886,0.033333333
pickup20,-0.832960892,0.658278351,0.219879695,0.719879695,0.636081462,0.033333333
pickup21,-0.071622871,-0.632763931,0.5345475,1.0345475,0.628773996,0.033333333
pickup22,2.350660782,-0.271989051,0.425195981,0.925195981,0.541494289,0.033333333
pickup23,-1.825123501,1.205505582,2.829875918,3.329875918,0.507629465,0.033333333
pickup24,-0.873378944,1.83369734,2.986305662,3.486305662,0.611955999,0.033333333
pickup25,-0.316127079,0.156533396,1.300896004,1.800896004,0.730978269,0.033333333
pickup26,0.617951725,2.26472001,3.03203491,3.53203491,0.72677449,0.033333333
pickup27,1.779809377,1.72126323,1.580463589,2.080463589,0.664022086,0.033333333
pickup28,-0.438186374,0.55095452,0.603760259,1.103760259,0.568965666,0.033333333
pickup29,0.533946946,0.322472189,0.697010051,1.197010051,0.567959111,0.033333333
pickup30,-0.155338161,1.059024277,2.094820924,2.594820924,0.698494912,0.033333333
pickup31,1.889575522,-1.778570907,2.352832023,2.852832023,0.635875902,0.033333333
pickup32,-1.225311031,-0.94936663,2.400635155,2.900635155,0.530729868,0.033333333
