NID,x,y,a,b,dm,st
sevice_D,0.0,0.0,0.0,6.0,0.0,0.0
pickup1,-4.542878313177054,-1.3342403131827167,2.4929389609973005,2.9609027296257624,0.6425329545527911,0.03333333333333333
pickup2,-0.8428108997543172,1.5251039870735625,2.192474370131907,2.69813787123791,0.5841082532872461,0.03333333333333333
pickup3,-0.8884467475598157,-0.3635479575197193,0.09914792549975582,0.6131147251056667,0.6049533790564006,0.03333333333333333
pickup4,1.372423807313812,3.185639697473411,3.9345862422301034,4.493328213213318,0.530734128971253,0.03333333333333333
pickup5,-4.47851032618624,-1.6676580645170547,0.9063093135537911,1.4500252500484327,0.5267776439173032,0.03333333333333333
pickup6,-0.9130311115853775,1.3390779473210679,5.493407932991512,5.91093486964828,0.5349241136498253,0.03333333333333333
pickup7,-3.3606945279083917,1.5676747331174437,1.9816230837548563,2.395365942627649,0.5703862269608051,0.03333333333333333
pickup8,-1.5926501812440916,-1.0726116779214316,3.68663658793528,4.268868854810416,0.6402427024894803,0.03333333333333333
pickup9,-0.3038100088479416,-1.2098565393604441,4.644137758909553,5.177531307053749,0.6465149372435184,0.03333333333333333
pickup10,-0.21454397920510404,0.8648563830208367,5.149666911992829,5.6544975571533636,0.5245118506383373,0.03333333333333333
pickup11,2.989975149034872,2.9186288506676172,0.1961282398580026,0.762770887431792,0.7174269244171008,0.03333333333333333
pickup12,-0.19755077044429967,0.03090822675253165,3.1096482828637093,3.514899667332881,0.736686851248202,0.03333333333333333
pickup13,-0.35284249148369173,0.24672706560628824,5.183013263733064,5.5879058696709185,0.6628007652544846,0.03333333333333333
pickup14,-0.15122248645368885,0.9573005025670643,3.068854561830365,3.606266390886634,0.7462568720355787,0.03333333333333333
pickup15,2.07411334696521,1.8565002635379826,3.8256256850685757,4.3856914328658005,0.6941727269666325,0.03333333333333333
pickup16,-1.1050561858087542,-2.0984595405632827,1.661533511039523,2.175881331856893,0.696201469328976,0.03333333333333333
pickup17,-1.8739511392919144,1.7408479273489392,1.2397573983008532,1.7236325800254038,0.6392520427591716,0.03333333333333333
pickup18,-4.360870347887454,1.487530756230522,2.308549926820909,2.8371884908193303,0.5508904970502678,0.03333333333333333
pickup19,-2.063345912109487,4.255165210702722,3.5224917558525863,3.945732747419885,0.5432402600170898,0.03333333333333333
pickup20,2.2661817236580153,0.8235027210435049,3.3320399080296594,3.842187628755058,0.7225476910925339,0.03333333333333333
pickup21,-1.3715839238301146,-0.014323603359406743,4.333908893398711,4.868253964621379,0.5655747963209217,0.03333333333333333
pickup22,-1.9767276921458423,-2.70059812273585,4.195653777552179,4.681984796408782,0.6291173286653092,0.03333333333333333
pickup23,-4.082727155303809,2.46644019189541,2.5771651382128495,3.1369120317611254,0.6326673442811594,0.03333333333333333
pickup24,-1.642130317145069,0.3854918134872216,5.030768038489675,5.519414546279711,0.6792696549741298,0.03333333333333333
pickup25,-0.03406788283576246,0.021829314058201207,4.427780669647439,4.843200743135413,0.7265848639551575,0.03333333333333333
pickup26,-1.0582293949924688,0.5253273644947732,5.067412006285038,5.592803515976757,0.7293553333459666,0.03333333333333333
pickup27,1.1595904249675775,1.6100975345633726,3.459976936434768,3.904949121091416,0.6127108479170755,0.03333333333333333
pickup28,1.5587857055846117,-3.3051322042856226,2.6074559481125537,3.1547905714822155,0.6273108122211144,0.03333333333333333
pickup29,3.836847240003631,-1.4824306157855467,1.661385678657175,2.1444124891957133,0.7461232696806456,0.03333333333333333
pickup30,0.6596271514538745,3.0884507097348846,0.39018615677865953,0.8367900715869303,0.6094974207589527,0.03333333333333333
